date,sample,Fo,Fa,chl_a_pheophytin,chl_a
8/11/23,1,292.1,145,8.143748,8.093564
8/11/23,2,281.5,192.4,7.84822,8.093564
8/11/23,3,297.3,203,8.288724,8.093564
8/16/23,1,385.9,266.1,10.758892,10.987508
8/16/23,2,419.3,286.6,11.690084,10.987508
8/16/23,3,377.1,258.8,10.513548,10.987508
8/23/23,1,318.9,198.7,8.890932,7.9458
8/23/23,2,273.8,190.2,7.633544,7.9458
8/23/23,3,262.3,178,7.312924,7.9458
8/31/23,1,226.9,167.4,6.325972,6.539718667
8/31/23,2,239.8,173,6.685624,6.539718667
8/31/23,3,237,172.8,6.60756,6.539718667
9/6/23,1,303,209,8.44764,8.537785333
9/6/23,2,308.2,210.2,8.592616,8.537785333
9/6/23,3,307.5,205.2,8.5731,8.537785333
9/14/23,1,459.4,314.9,12.808072,12.03486667
9/14/23,2,387.1,262.7,10.792348,12.03486667
9/14/23,3,448.5,304,12.50418,12.03486667
9/20/23,1,307.1,214,8.561948,8.557301333
9/20/23,2,315.4,221.9,8.793352,8.557301333
9/20/23,3,298.3,215.4,8.316604,8.557301333
9/27/23,1,141.4,105.9,3.942232,3.946878667
9/27/23,2,135.4,103,3.774952,3.946878667
9/27/23,3,147.9,112.8,4.123452,3.946878667
10/4/23,1,112.1,81.43,3.125348,3.056577333
10/4/23,2,104.3,76.31,2.907884,3.056577333
10/4/23,3,112.5,82.52,3.1365,3.056577333
10/12/23,1,159.2,108,4.438496,4.306530667
10/12/23,2,157.1,113.6,4.379948,4.306530667
10/12/23,3,147.1,105.4,4.101148,4.306530667
