#,Date-Time (EST/EDT),Ch:1 - Temperature   (°C),Ch:2 - Light   (lux)
8977,08/16/2023 00:00:00,21.75,0.00
8978,08/16/2023 00:10:00,21.70,0.00
8979,08/16/2023 00:20:00,21.66,0.00
8980,08/16/2023 00:30:00,21.58,0.00
8981,08/16/2023 00:40:00,21.53,0.00
8982,08/16/2023 00:50:00,21.45,0.00
8983,08/16/2023 01:00:00,21.32,0.00
8984,08/16/2023 01:10:00,21.28,0.00
8985,08/16/2023 01:20:00,21.19,0.00
8986,08/16/2023 01:30:00,21.15,0.00
8987,08/16/2023 01:40:00,21.06,0.00
8988,08/16/2023 01:50:00,20.98,0.00
8989,08/16/2023 02:00:00,20.89,0.00
8990,08/16/2023 02:10:00,20.85,0.00
8991,08/16/2023 02:20:00,20.85,0.00
8992,08/16/2023 02:30:00,20.80,0.00
8993,08/16/2023 02:40:00,20.80,0.00
8994,08/16/2023 02:50:00,20.85,0.00
8995,08/16/2023 03:00:00,20.89,0.00
8996,08/16/2023 03:10:00,20.85,0.00
8997,08/16/2023 03:20:00,21.02,0.00
8998,08/16/2023 03:30:00,21.06,0.00
8999,08/16/2023 03:40:00,21.19,0.00
9000,08/16/2023 03:50:00,21.19,0.00
9001,08/16/2023 04:00:00,21.28,0.00
9002,08/16/2023 04:10:00,21.32,0.00
9003,08/16/2023 04:20:00,21.40,0.00
9004,08/16/2023 04:30:00,21.36,0.00
9005,08/16/2023 04:40:00,21.45,0.00
9006,08/16/2023 04:50:00,21.45,0.00
9007,08/16/2023 05:00:00,21.49,0.00
9008,08/16/2023 05:10:00,21.49,0.00
9009,08/16/2023 05:20:00,21.53,0.00
9010,08/16/2023 05:30:00,21.62,0.00
9011,08/16/2023 05:40:00,21.66,0.64
9012,08/16/2023 05:50:00,21.66,3.46
9013,08/16/2023 06:00:00,21.70,7.82
9014,08/16/2023 06:10:00,21.70,13.05
9015,08/16/2023 06:20:00,21.79,26.58
9016,08/16/2023 06:30:00,21.75,27.02
9017,08/16/2023 06:40:00,21.75,54.46
9018,08/16/2023 06:50:00,21.83,79.38
9019,08/16/2023 07:00:00,21.88,81.96
9020,08/16/2023 07:10:00,21.88,115.12
9021,08/16/2023 07:20:00,21.92,200.56
9022,08/16/2023 07:30:00,21.96,398.56
9023,08/16/2023 07:40:00,22.05,169.12
9024,08/16/2023 07:50:00,22.01,118.56
9025,08/16/2023 08:00:00,22.05,169.12
9026,08/16/2023 08:10:00,22.05,247.76
9027,08/16/2023 08:20:00,22.05,198.80
9028,08/16/2023 08:30:00,22.09,172.64
9029,08/16/2023 08:40:00,22.01,73.32
9030,08/16/2023 08:50:00,22.05,274.88
9031,08/16/2023 09:00:00,22.09,237.36
9032,08/16/2023 09:10:00,22.05,229.36
9033,08/16/2023 09:20:00,22.09,220.72
9034,08/16/2023 09:30:00,22.05,133.40
9035,08/16/2023 09:40:00,22.09,284.40
9036,08/16/2023 09:50:00,22.13,368.16
9037,08/16/2023 10:00:00,22.09,369.92
9038,08/16/2023 10:10:00,21.96,395.84
9039,08/16/2023 10:20:00,22.01,624.64
9040,08/16/2023 10:30:00,21.92,696.00
9041,08/16/2023 10:40:00,21.96,719.36
9042,08/16/2023 10:50:00,21.83,391.52
9043,08/16/2023 11:00:00,21.75,203.36
9044,08/16/2023 11:10:00,21.75,376.00
9045,08/16/2023 11:20:00,21.75,437.92
9046,08/16/2023 11:30:00,21.79,1038.72
