date,time,temperatureC,salinity_ppt,pH,DO_mg/L,Nitrate,Nitrite,Ammonia,crabs fed,water flow,cleaned tanks (time),,Tank Cleaning (0-24),Notes
8/16/23,2:15,21,22.78,8.08,5.88,0,0,0,NA,y,2:40,pm,14:40,crab #13 has had one claw is broken
8/17/23,12:20,21.3,22.05,8.06,6.39,0,0,0,NA,y,11:58,am,11:58,
8/18/23,12:30,21.1,22.5,7.72,6.18,NA,NA,NA,NA,y,11:50,am,11:50,
8/19/23,11:47,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,,NA,Text file on the computer restarted the error began on 8/18 at 8:23pm
8/22/23,3:59,21.2,22.52,9.86,6.22,0,0,0,NA,y,4:10,pm,16:10,
8/23/23,12:59,21.5,21.76,8.92,5.81,NA,NA,NA,NA,y,1:29,pm,13:29,
8/24/23,1:34,21.3,22.19,8.58,6.57,0,0,0,NA,y,12:52,pm,12:52,
8/25/23,1:02,NA,NA,NA,NA,0,0,0,1:13-1:19,y,NA,,NA,4:32 pm no water fowing right now dirty water (JEL system shut off)
8/28/23,4:40,21.8,22.63,8.35,6.42,0,0,0,NA,y,4:25,pm,16:25,
8/29/23,10:26,20.9,23.21,8.63,6.11,NA,NA,NA,NA,y,10:15,am,10:15,8/30 magnet on sensor 12 can off reattached at 4:52
9/1/23,6:39,20.5,23.94,8.05,6.96,0,0,0,6:20,y,5:40,pm,17:40,
9/2/23,3:40,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,,NA,
9/4/23,3:05,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,,NA,number 15 was fixed at 4:15pm 
9/5/23,11:38,21.8,24.4,7.92,6.71,0,0,0,NA,y,12:00,pm,12:00,
9/6/23,12:38,22.2,24.89,8.07,6.56,0,0,0,NA,y,12:40-1:50,pm,12:40,
9/7/23,10:06,21.7,25.64,8.1,6.31,NA,NA,NA,NA,y,9:40,am,9:40,
9/8/23,3:49,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,,NA,"data reset time went to zero and data ""initialized"" there was some water on the end of the computer. Power seemed to restore and the data is still collecting"
9/9/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,NA,,NA,crab 15 died male and was removed
9/10/23,1:52,22.8,25.66,7.95,5.81,0,0,0,NA,y,1:56,pm,13:56,
9/11/23,11:03,22.2,25.79,7.98,5.55,0,0,0,NA,y,10:38-11:01,am,10:38,
9/12/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,1-1:24,pm,13:00,#3 sensor broken noticed at 1pm fixed at 1:24pm
9/13/23,NA,NA,NA,NA,NA,0,0,0,NA,y,5:54,pm,17:54,
9/14/23,NA,NA,NA,NA,NA,NA,NA,NA,10:31,y,11:04,am,11:04,when crabs were feeding data stream was paused for cleaning. Also crab 15 replaced 
9/15/23,5:17,21.9,23.66,8.09,7.21,0,0,0,NA,y,5:00,pm,17:00,pH probe likely broken
9/16/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,1:03-1:29,pm,13:03,
9/17/23,3:49,20,24.37,10.44,6.82,0,0,0,NA,y,3:43,pm,15:43,
9/18/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,6:37,pm,18:37,
9/19/23,1:13,19.5,21.88,8.2,6.69,0,0,0,NA,y,1:20,pm,13:20,
9/20/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,6:35,pm,18:35,
9/21/23,12:12,19.4,16.51,8.35,6.81,0,0,0,NA,y,12:19,pm,12:19,
9/22/23,5:41,19.1,17.27,8.5,6.6,NA,NA,NA,NA,y,5:53,pm,17:53,
9/23/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,12:55,pm,12:55,
9/24/23,NA,NA,NA,NA,NA,NA,NA,NA,5:11,y,5:21,pm,17:21,
9/25/23,5:16,17.9,16.41,8.18,6.73,0,0,0,NA,y,5:25,pm,17:25,
9/26/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,7:07,pm,19:07,
9/27/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,10:22,am,10:22,
9/27/23,6:25,17.7,17.34,8.21,6.46,0,0,0,NA,y,6:59,pm,18:59,crab 13 died noticed at 9:30am male carapus(80.17mm). Crab 6 died male carapus(81.19mm) tanks 6 and 13 don’t have crabs at the moment
9/28/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,12:13,pm,12:13,New crabs added to 6 and 13 both added at 6:31pm. Deep clean
9/29/23,2:16,17,23.3,10.79,7.09,0,0,0,NA,y,2:27,pm,14:27,
9/30/23,NA,NA,NA,NA,NA,NA,NA,NA,NA,y,1:20,pm,13:20,crab 11 dropped its crussing claw: claw was removed
10/1/23,NA,NA,NA,NA,NA,5,0,0,NA,y,1:49,pm,13:49,crab 11 died at 1:23 noticed male carapus(77.03mm)
