"oyster_identity","Crab_treatment","Date","hour","avg_gape","oyster_number_ID","rounded_gape"
"oyster.10_gape","olfactory",2023-08-16,14,0.0214806290755658,10,0
"oyster.10_gape","olfactory",2023-08-16,15,0.251434599156118,10,0.3
"oyster.10_gape","olfactory",2023-08-16,16,0.0123206751054852,10,0
"oyster.10_gape","olfactory",2023-08-16,17,0.0126158926379069,10,0
"oyster.10_gape","olfactory",2023-08-16,18,0.752025316455696,10,0.8
"oyster.10_gape","olfactory",2023-08-16,19,0.972573839662447,10,1
"oyster.10_gape","olfactory",2023-08-16,20,0.925822784810126,10,0.9
"oyster.10_gape","olfactory",2023-08-16,21,0.0559671478768893,10,0.1
"oyster.10_gape","olfactory",2023-08-16,22,0.00308016877637131,10,0
"oyster.10_gape","olfactory",2023-08-16,23,0.00194092827004219,10,0
"oyster.10_gape","olfactory",2023-08-17,0,0.831687955836725,10,0.8
"oyster.10_gape","olfactory",2023-08-17,1,0.943935742971888,10,0.9
"oyster.10_gape","olfactory",2023-08-17,2,0.939477911646586,10,0.9
"oyster.10_gape","olfactory",2023-08-17,3,0.915502008032129,10,0.9
"oyster.10_gape","olfactory",2023-08-17,4,0.16081718177056,10,0.2
"oyster.10_gape","olfactory",2023-08-17,5,0.0127710843373494,10,0
"oyster.10_gape","olfactory",2023-08-17,6,0.012570281124498,10,0
"oyster.10_gape","olfactory",2023-08-17,7,0.0124497991967872,10,0
"oyster.10_gape","olfactory",2023-08-17,8,0.0128943869121973,10,0
"oyster.10_gape","olfactory",2023-08-17,9,0.0132530120481928,10,0
"oyster.10_gape","olfactory",2023-08-17,10,0.0134136546184739,10,0
"oyster.10_gape","olfactory",2023-08-17,11,0.0131738024763414,10,0
"oyster.10_gape","olfactory",2023-08-17,12,0.534754402224282,10,0.5
"oyster.10_gape","olfactory",2023-08-17,13,0.0128915662650602,10,0
"oyster.10_gape","olfactory",2023-08-17,14,0.0129317269076305,10,0
"oyster.10_gape","olfactory",2023-08-17,15,0.0130152717894991,10,0
"oyster.10_gape","olfactory",2023-08-17,16,0.012570281124498,10,0
"oyster.10_gape","olfactory",2023-08-17,17,0.36277108433735,10,0.4
"oyster.10_gape","olfactory",2023-08-17,18,0.716345381526104,10,0.7
"oyster.10_gape","olfactory",2023-08-17,19,0.93270741830197,10,0.9
"oyster.10_gape","olfactory",2023-08-17,20,0.963012048192771,10,1
"oyster.10_gape","olfactory",2023-08-17,21,0.973734939759036,10,1
"oyster.10_gape","olfactory",2023-08-17,22,0.978955823293173,10,1
"oyster.10_gape","olfactory",2023-08-17,23,0.955997904662127,10,1
"oyster.10_gape","olfactory",2023-08-18,0,0.978875,10,1
"oyster.10_gape","olfactory",2023-08-18,1,0.901833333333333,10,0.9
"oyster.10_gape","olfactory",2023-08-18,2,0.514632107023412,10,0.5
"oyster.10_gape","olfactory",2023-08-18,3,0.0122083333333333,10,0
"oyster.10_gape","olfactory",2023-08-18,4,0.0127083333333333,10,0
"oyster.10_gape","olfactory",2023-08-18,5,0.607416666666667,10,0.6
"oyster.10_gape","olfactory",2023-08-18,6,0.917349498327759,10,0.9
"oyster.10_gape","olfactory",2023-08-18,7,0.895125,10,0.9
"oyster.10_gape","olfactory",2023-08-18,8,0.45375,10,0.5
"oyster.10_gape","olfactory",2023-08-18,9,0.0128333333333333,10,0
"oyster.10_gape","olfactory",2023-08-18,10,0.0130016722408027,10,0
"oyster.10_gape","olfactory",2023-08-18,11,0.0125651041666667,10,0
"oyster.10_gape","olfactory",2023-08-18,12,0.0127765486725664,10,0
"oyster.10_gape","olfactory",2023-08-18,13,0.0127508361204013,10,0
"oyster.10_gape","olfactory",2023-08-18,14,0.0125833333333333,10,0
"oyster.10_gape","olfactory",2023-08-18,15,0.0115416666666667,10,0
"oyster.10_gape","olfactory",2023-08-18,16,0.286291666666666,10,0.3
"oyster.10_gape","olfactory",2023-08-18,17,0.155936454849499,10,0.2
"oyster.10_gape","olfactory",2023-08-18,18,0.473083333333334,10,0.5
"oyster.10_gape","olfactory",2023-08-18,19,0.950538793103448,10,1
"oyster.10_gape","olfactory",2023-08-19,11,0.0136507936507937,10,0
"oyster.10_gape","olfactory",2023-08-19,12,0.0121333333333333,10,0
"oyster.10_gape","olfactory",2023-08-19,13,0.0115555555555556,10,0
"oyster.10_gape","olfactory",2023-08-19,14,0.0107111111111111,10,0
"oyster.10_gape","olfactory",2023-08-19,15,0.00967670011148272,10,0
"oyster.10_gape","olfactory",2023-08-19,16,0.0088,10,0
"oyster.10_gape","olfactory",2023-08-19,17,0.424355555555556,10,0.4
"oyster.10_gape","olfactory",2023-08-19,18,0.919688888888889,10,0.9
"oyster.10_gape","olfactory",2023-08-19,19,0.893154960981048,10,0.9
"oyster.10_gape","olfactory",2023-08-19,20,0.947644444444445,10,0.9
"oyster.10_gape","olfactory",2023-08-19,21,0.969422222222222,10,1
"oyster.10_gape","olfactory",2023-08-19,22,0.304844444444444,10,0.3
"oyster.10_gape","olfactory",2023-08-19,23,0.507513935340023,10,0.5
"oyster.10_gape","olfactory",2023-08-20,0,0.606033755274262,10,0.6
"oyster.10_gape","olfactory",2023-08-20,1,0.0107594936708861,10,0
"oyster.10_gape","olfactory",2023-08-20,2,0.010126582278481,10,0
"oyster.10_gape","olfactory",2023-08-20,3,0.00982176876508192,10,0
"oyster.10_gape","olfactory",2023-08-20,4,0.00822784810126582,10,0
"oyster.10_gape","olfactory",2023-08-20,5,0.00687763713080169,10,0
"oyster.10_gape","olfactory",2023-08-20,6,0.00881856540084388,10,0
"oyster.10_gape","olfactory",2023-08-20,7,0.00723932094322848,10,0
"oyster.10_gape","olfactory",2023-08-20,8,0.00662447257383966,10,0
"oyster.10_gape","olfactory",2023-08-20,9,0.00683544303797468,10,0
"oyster.10_gape","olfactory",2023-08-20,10,0.00791668430633758,10,0
"oyster.10_gape","olfactory",2023-08-20,11,0.00751054852320675,10,0
"oyster.10_gape","olfactory",2023-08-20,12,0.00742616033755274,10,0
"oyster.10_gape","olfactory",2023-08-20,13,0.0069760900140647,10,0
"oyster.10_gape","olfactory",2023-08-20,14,0.00694297447186825,10,0
"oyster.10_gape","olfactory",2023-08-20,15,0.00552742616033755,10,0
"oyster.10_gape","olfactory",2023-08-20,16,0.00421940928270042,10,0
"oyster.10_gape","olfactory",2023-08-20,17,0.00309047034418526,10,0
"oyster.10_gape","olfactory",2023-08-20,18,0.501518987341772,10,0.5
"oyster.10_gape","olfactory",2023-08-20,19,0.840675105485232,10,0.8
"oyster.10_gape","olfactory",2023-08-20,20,0.927637130801688,10,0.9
"oyster.10_gape","olfactory",2023-08-20,21,0.95372761525761,10,1
"oyster.10_gape","olfactory",2023-08-20,22,0.972658227848101,10,1
"oyster.10_gape","olfactory",2023-08-20,23,0.980886075949367,10,1
"oyster.10_gape","olfactory",2023-08-21,0,0.965342809364549,10,1
"oyster.10_gape","olfactory",2023-08-21,1,0.897791666666667,10,0.9
"oyster.10_gape","olfactory",2023-08-21,2,0.599125,10,0.6
"oyster.10_gape","olfactory",2023-08-21,3,0.019625,10,0
"oyster.10_gape","olfactory",2023-08-21,4,0.410409698996655,10,0.4
"oyster.10_gape","olfactory",2023-08-21,5,0.214,10,0.2
"oyster.10_gape","olfactory",2023-08-21,6,0.0145416666666667,10,0
"oyster.10_gape","olfactory",2023-08-21,7,0.0149166666666667,10,0
"oyster.10_gape","olfactory",2023-08-21,8,0.0161789297658863,10,0
"oyster.10_gape","olfactory",2023-08-21,9,0.0159166666666667,10,0
"oyster.10_gape","olfactory",2023-08-21,10,0.0157083333333333,10,0
"oyster.10_gape","olfactory",2023-08-21,11,0.0165551839464883,10,0
"oyster.10_gape","olfactory",2023-08-21,12,0.01725,10,0
"oyster.10_gape","olfactory",2023-08-21,13,0.0157083333333333,10,0
"oyster.10_gape","olfactory",2023-08-21,14,0.0156698564593301,10,0
"oyster.10_gape","olfactory",2023-08-21,15,0.0150252525252525,10,0
"oyster.10_gape","olfactory",2023-08-21,16,0.0134868421052632,10,0
"oyster.10_gape","olfactory",2023-08-21,17,0.0134583333333333,10,0
"oyster.10_gape","olfactory",2023-08-21,18,0.232901337792642,10,0.2
"oyster.10_gape","olfactory",2023-08-21,19,0.274916666666667,10,0.3
"oyster.10_gape","olfactory",2023-08-21,20,0.936791666666667,10,0.9
"oyster.10_gape","olfactory",2023-08-21,21,0.977583333333333,10,1
"oyster.10_gape","olfactory",2023-08-21,22,0.984698996655518,10,1
"oyster.10_gape","olfactory",2023-08-21,23,0.973166666666667,10,1
"oyster.10_gape","olfactory",2023-08-22,0,0.971399176954732,10,1
"oyster.10_gape","olfactory",2023-08-22,1,0.96762872125191,10,1
"oyster.10_gape","olfactory",2023-08-22,2,0.696337448559671,10,0.7
"oyster.10_gape","olfactory",2023-08-22,3,0.01440329218107,10,0
"oyster.10_gape","olfactory",2023-08-22,4,0.0137448559670782,10,0
"oyster.10_gape","olfactory",2023-08-22,5,0.161691234155002,10,0.2
"oyster.10_gape","olfactory",2023-08-22,6,0.0124691358024691,10,0
"oyster.10_gape","olfactory",2023-08-22,7,0.012880658436214,10,0
"oyster.10_gape","olfactory",2023-08-22,8,0.0130864197530864,10,0
"oyster.10_gape","olfactory",2023-08-22,9,0.0130063173541434,10,0
"oyster.10_gape","olfactory",2023-08-22,10,0.0133333333333333,10,0
"oyster.10_gape","olfactory",2023-08-22,11,0.0132098765432099,10,0
"oyster.10_gape","olfactory",2023-08-22,12,0.0134605062141294,10,0
"oyster.10_gape","olfactory",2023-08-22,13,0.0134567901234568,10,0
"oyster.10_gape","olfactory",2023-08-22,14,0.0132098765432099,10,0
"oyster.10_gape","olfactory",2023-08-22,15,0.012798353909465,10,0
"oyster.10_gape","olfactory",2023-08-22,16,0.0131172839506173,10,0
"oyster.10_gape","olfactory",2023-08-22,17,0.0133744855967078,10,0
"oyster.10_gape","olfactory",2023-08-22,18,0.0130041152263374,10,0
"oyster.10_gape","olfactory",2023-08-22,19,0.326479210537181,10,0.3
"oyster.10_gape","olfactory",2023-08-22,20,0.909341563786008,10,0.9
"oyster.10_gape","olfactory",2023-08-22,21,0.935061728395062,10,0.9
"oyster.10_gape","olfactory",2023-08-22,22,0.977283950617284,10,1
"oyster.10_gape","olfactory",2023-08-22,23,0.983566621247781,10,1
"oyster.10_gape","olfactory",2023-08-23,0,0.976056910569106,10,1
"oyster.10_gape","olfactory",2023-08-23,1,0.971747967479675,10,1
"oyster.10_gape","olfactory",2023-08-23,2,0.96614732033608,10,1
"oyster.10_gape","olfactory",2023-08-23,3,0.89130081300813,10,0.9
"oyster.10_gape","olfactory",2023-08-23,4,0.926626016260163,10,0.9
"oyster.10_gape","olfactory",2023-08-23,5,0.917479674796748,10,0.9
"oyster.10_gape","olfactory",2023-08-23,6,0.353169100252876,10,0.4
"oyster.10_gape","olfactory",2023-08-23,7,0.0126829268292683,10,0
"oyster.10_gape","olfactory",2023-08-23,8,0.0129674796747968,10,0
"oyster.10_gape","olfactory",2023-08-23,9,0.0130487804878049,10,0
"oyster.10_gape","olfactory",2023-08-23,10,0.0135002855045273,10,0
"oyster.10_gape","olfactory",2023-08-23,11,0.0141463414634146,10,0
"oyster.10_gape","olfactory",2023-08-23,12,0.0141534627025102,10,0
"oyster.10_gape","olfactory",2023-08-23,13,0.0147233789411065,10,0
"oyster.10_gape","olfactory",2023-08-23,14,0.235243902439024,10,0.2
"oyster.10_gape","olfactory",2023-08-23,15,0.877357723577236,10,0.9
"oyster.10_gape","olfactory",2023-08-23,16,0.957723577235772,10,1
"oyster.10_gape","olfactory",2023-08-23,17,0.967452483889387,10,1
"oyster.10_gape","olfactory",2023-08-23,18,0.967926829268293,10,1
"oyster.10_gape","olfactory",2023-08-23,19,0.968008130081301,10,1
"oyster.10_gape","olfactory",2023-08-23,20,0.959756097560976,10,1
"oyster.10_gape","olfactory",2023-08-23,21,0.957786116322702,10,1
"oyster.10_gape","olfactory",2023-08-23,22,0.928333333333333,10,0.9
"oyster.10_gape","olfactory",2023-08-23,23,0.93369918699187,10,0.9
"oyster.10_gape","olfactory",2023-08-24,0,0.974674796747967,10,1
"oyster.10_gape","olfactory",2023-08-24,1,0.648870217799168,10,0.6
"oyster.10_gape","olfactory",2023-08-24,2,0.0139430894308943,10,0
"oyster.10_gape","olfactory",2023-08-24,3,0.0134552845528455,10,0
"oyster.10_gape","olfactory",2023-08-24,4,0.0133333333333333,10,0
"oyster.10_gape","olfactory",2023-08-24,5,0.0131332082551595,10,0
"oyster.10_gape","olfactory",2023-08-24,6,0.0129268292682927,10,0
"oyster.10_gape","olfactory",2023-08-24,7,0.0127235772357724,10,0
"oyster.10_gape","olfactory",2023-08-24,8,0.151869918699187,10,0.2
"oyster.10_gape","olfactory",2023-08-24,9,0.925238600212089,10,0.9
"oyster.10_gape","olfactory",2023-08-24,10,0.953211382113821,10,1
"oyster.10_gape","olfactory",2023-08-24,11,0.921266581086863,10,0.9
"oyster.10_gape","olfactory",2023-08-24,13,0.640726443235656,10,0.6
"oyster.10_gape","olfactory",2023-08-24,14,0.91390243902439,10,0.9
"oyster.10_gape","olfactory",2023-08-24,15,0.902845528455285,10,0.9
"oyster.10_gape","olfactory",2023-08-24,16,0.909087201239905,10,0.9
"oyster.10_gape","olfactory",2023-08-24,17,0.895650406504065,10,0.9
"oyster.10_gape","olfactory",2023-08-24,18,0.899878048780488,10,0.9
"oyster.10_gape","olfactory",2023-08-24,19,0.89942083367322,10,0.9
"oyster.10_gape","olfactory",2023-08-24,20,0.928211382113821,10,0.9
"oyster.10_gape","olfactory",2023-08-24,21,0.91739837398374,10,0.9
"oyster.10_gape","olfactory",2023-08-24,22,0.916707317073171,10,0.9
"oyster.10_gape","olfactory",2023-08-24,23,0.924993882045844,10,0.9
"oyster.10_gape","olfactory",2023-08-25,0,0.940946502057613,10,0.9
"oyster.10_gape","olfactory",2023-08-25,1,0.920493827160494,10,0.9
"oyster.10_gape","olfactory",2023-08-25,2,0.955390946502058,10,1
"oyster.10_gape","olfactory",2023-08-25,3,0.930137495354887,10,0.9
"oyster.10_gape","olfactory",2023-08-25,4,0.91156378600823,10,0.9
"oyster.10_gape","olfactory",2023-08-25,5,0.916008230452675,10,0.9
"oyster.10_gape","olfactory",2023-08-25,6,0.914979423868313,10,0.9
"oyster.10_gape","olfactory",2023-08-25,7,0.913208637846319,10,0.9
"oyster.10_gape","olfactory",2023-08-25,8,0.915473251028807,10,0.9
